sroi_ratio,investment_amount,currency,total_social_value,n_beneficiaries,n_outcomes,n_stakeholder_groups,deadweight_pct,attribution_pct,drop_off_pct,displacement_pct,discount_rate_pct,has_sensitivity_analysis,has_proxy_sources,has_materiality_assessment,extraction_notes,report_id,_agent_a_ratio,_agent_b_ratio
25.0,1.0,GBP,25.0,,,,,0.0,,,3.5,False,False,False,"The SROI ratio, investment amount, total social value, attribution percentage, and discount rate percentage were extracted from Agent B as they align with the text indicating an average return scenario of £25 for every £1 invested. Agent A provided no data for these fields. The text supports the average return scenario, but there is no explicit mention of attribution or discount rate, so these values are taken from Agent B's extraction. Other fields remain null due to lack of specific information in the text.",9,,25.0
9.0,,GBP,,,,,48.0,68.0,,0.0,,True,False,True,"The displacement percentage was set to 0.0 based on the text indicating limited displacement for a few stakeholders. No specific percentage was provided in the text, but the context suggests minimal displacement.",159,9.0,9.0
34.0,,,,9483000.0,,,25.0,25.0,,,3.0,False,False,False,"The SROI ratio of 34.0 and attribution percentage of 25.0 were confirmed from the text, specifically referencing the All Stars program with a cost-benefit ratio of 34:1. Agent B's extraction aligns with this information. Remaining fields such as investment amount, currency, and total social value are not specified in the text, leading to null values. The extraction is based on the available data, and any missing information remains uncertain.",55,,34.0
16.87,72000.0,GBP,1210000.0,122.0,7.0,3.0,0.0,19.0,0.0,0.0,3.5,False,True,False,"Agent B's data was selected for all fields with disagreements as it aligns with the detailed information provided in the report text. Agent A did not provide values for these fields, leading to the resolution in favor of Agent B's extraction.",144,16.87,16.87
16.83,212603.0,AUD,3578861.0,,,6.0,0.0,0.0,0.0,0.0,,False,False,False,"The text explicitly states that no drop-off has been applied and attribution is assigned to specific outcomes, supporting agent B's values of 0.0 for both attribution_pct and drop_off_pct. Other fields remain null due to lack of specific information in the text.",12,16.83,16.83
15.7,,GBP,,140.0,,,,,50.0,,3.5,True,False,False,A and B agree — no reconciliation needed.,83,15.7,15.7
,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.,8,,
1.97,,AUD,1031000.0,90.0,,4.0,20.0,,,,4.0,False,False,False,A and B agree — no reconciliation needed.,139,1.97,1.97
,,,,,,,,,,,,False,False,True,A and B agree — no reconciliation needed.,242,,
9.93,66962.0,GBP,665137.0,12.0,,6.0,10.0,10.0,,0.0,3.5,False,False,False,"Deadweight, attribution, and displacement percentages were confirmed from the detailed tables on pages 50-56. No information was available for drop-off percentage, hence it remains null.",17,9.93,9.93
3.47,174775.0,EUR,606405.0,18.0,,,,0.0,,,,True,False,False,"The attribution percentage was set to 0.0 based on Agent B's extraction, as the text mentions that some benefits can only in part be attributed to Casa Abraham. Other fields remain null due to lack of explicit data in the text.",131,3.47,3.47
6.61,,GBP,9.24,18.0,4.0,,,39.0,,,3.5,False,False,False,"The SROI ratio, currency, total social value, number of beneficiaries, attribution percentage, and discount rate percentage were extracted from Agent B's data as they were supported by the text. The text did not provide information on investment amount, number of stakeholder groups, deadweight percentage, drop-off percentage, or displacement percentage, so these remain null. Sensitivity analysis, proxy sources, and materiality assessment were confirmed as false by both agents.",347,,6.61
8.69,121733.0,GBP,1057775.0,224.0,,,,40.0,50.0,,,False,True,False,A and B agree — no reconciliation needed.,266,8.69,8.69
8.38,0.0,GBP,711788.0,0.0,16.0,0.0,10.0,40.0,16.0,,,False,False,False,A and B agree — no reconciliation needed.,4,8.38,8.38
8.27,11000.0,GBP,91078.0,8.0,7.0,5.0,10.0,26.0,12.5,0.0,3.5,True,False,False,"The displacement percentage was set to 0.0 based on the definition provided in the text, which suggests that displacement was considered but not applicable in this case. No explicit mention of displacement percentage was found in the text, leading to the resolution in favor of Agent B's extraction.",1,8.27,8.27
8.27,696569.48,GBP,612350.48,72.0,10.0,4.0,17.0,19.0,,0.0,3.5,True,False,False,"The number of outcomes was confirmed as 10 based on the text. Attribution percentage was resolved to 19% as it was explicitly mentioned in the text. Discount rate percentage was confirmed as 3.5% based on Agent B's extraction, which aligns with typical SROI reporting. No information was found to resolve the drop-off percentage.",53,8.27,8.27
,,,,,,,,,,,,False,False,False,A and B agree — no reconciliation needed.,112,,
7.96,185000.0,AUD,1472791.0,240.0,,5.0,75.0,0.0,0.0,0.0,4.75,False,False,False,"The attribution percentage was set to 0.0 based on the text indicating that the outcome is completely a result of the activity and no other programs or organisations contributed. There is no explicit mention of attribution in the text, but the methodology section suggests this interpretation.",11,7.96,7.96
2.06,,,,,,3.0,25.0,50.0,,,,True,False,False,The attribution percentage was set to 50% based on the text indicating that attribution and deadweight were split equally. No additional information was found to support the 40% figure provided by Agent A.,372,2.06,2.06
4.95,,GBP,,,,,,0.0,,,,True,False,False,"The attribution percentage was set to 0.0 based on Agent B's extraction, as the text did not provide explicit information to confirm or refute this value. Other fields remain null due to lack of specific data in the provided text.",58,4.95,4.95
1.0,683597.0,AUD,683597.0,260.0,1300.0,3.0,0.0,0.0,0.0,0.0,3.5,False,False,False,"Agent B's data is consistent with the text, which states a $1 value created for each $1 invested, supporting the SROI ratio of 1.0. The total social value matches the investment amount, and the number of beneficiaries and outcomes are explicitly mentioned in the text. Agent A's null values are likely due to missing or overlooked information.",75,,1.0
