sroi_ratio,investment_amount,currency,total_social_value,n_beneficiaries,n_outcomes,n_stakeholder_groups,deadweight_pct,attribution_pct,drop_off_pct,displacement_pct,discount_rate_pct,has_sensitivity_analysis,has_proxy_sources,has_materiality_assessment,extraction_notes,report_id,_agent_a_ratio,_agent_b_ratio
25.0,1.0,GBP,2500.0,70000.0,3.0,5.0,,,,,,False,False,False,Agent B's extraction is used for fields where Agent A provided null values. No additional information in the report excerpt contradicts Agent B's values.,9,25.0,25.0
9.0,1.0,GBP,9.0,,,,,,,,,True,False,False,"The investment amount and currency were confirmed based on the report excerpt stating that every £1 invested generates £9 of benefits, indicating a 1:9 investment to social value ratio. No additional information was available for other fields, leaving them as null.",159,9.0,9.0
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,55,,
16.87,72000.0,GBP,,122.0,7.0,3.0,81.0,45.0,50.0,,,False,True,False,"All values were taken from Agent B's extraction as Agent A provided null values for the disputed fields. The report excerpt supports the values provided by Agent B, particularly for deadweight and attribution percentages.",144,16.87,16.87
16.83,212603.0,AUD,3578861.0,5.0,10.0,6.0,,,,,,False,False,False,"The number of beneficiaries, outcomes, and stakeholder groups were extracted from Agent B's data as Agent A did not provide values. No further uncertainties remain.",12,16.83,16.83
,,,,,,,,,,,,True,True,False,"The report contains a section titled 'Sensitivity Analysis and Verification' and a table labeled 'Sensitivity Analysis', supporting the presence of sensitivity analysis. The presence of 'Appendix 3 - Financial Proxies' suggests the use of proxy sources. Therefore, the values from Agent B are considered correct for these fields.",83,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,8,,
1.97,,,,90.0,44.0,,20.0,,,,,False,False,False,"The number of outcomes and deadweight percentage were confirmed from the report excerpt. No additional information was available for other fields, which remain null.",139,1.97,1.97
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,242,,
9.93,66962.0,GBP,665137.0,12.0,8.0,6.0,,,,,3.5,False,False,False,"The number of outcomes was determined to be 8 based on Agent B's extraction, which aligns with the report's description of a range of outcomes. No further uncertainties remain.",17,9.93,9.93
3.47,174775.0,EUR,606405.0,18.0,16.0,1.0,,,,,,True,False,False,"The number of outcomes and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report's details about the vocational training outcomes and stakeholder involvement.",131,3.47,3.47
,,,,,4.0,,,,,,,False,False,False,"The report excerpt confirms the identification of four key outcomes across the recovery communities, supporting Agent B's extraction for 'n_outcomes'. No additional information was available to resolve other fields, which remain null.",347,,
8.69,121733.0,GBP,,224.0,7.0,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,266,8.69,8.69
8.38,,,711788.0,37.0,16.0,5.0,,,,,,False,False,True,"The number of beneficiaries, outcomes, and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report details. No further uncertainties remain.",4,8.38,8.38
8.27,,,91078.0,8.0,7.0,5.0,,,,,,False,False,False,"The number of stakeholder groups was determined to be 5 based on Agent B's extraction, which aligns with the report's description of stakeholders including internal and external groups. No additional information was available to determine values for investment amount, currency, or other percentage fields.",1,8.27,8.27
,,,,72.0,6.0,3.0,,,,,,True,False,False,The number of outcomes and stakeholder groups were confirmed as 6 and 3 respectively based on Agent B's extraction. No additional information was available to determine values for other financial metrics or percentages.,53,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,112,,
7.96,185000.0,AUD,1472791.0,750.0,5.0,5.0,,,,,,False,False,False,"The number of beneficiaries, outcomes, and stakeholder groups were confirmed based on Agent B's extraction, which aligns with the report excerpt indicating 750 subscribers and 5 stakeholder groups. No further uncertainties remain.",11,7.96,7.96
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,372,,
4.95,,GBP,,,,6.0,,,,,,True,False,False,"The number of stakeholder groups was determined to be 6 based on Agent B's extraction, which aligns with the report's content listing multiple stakeholders. No further uncertainties were identified.",58,4.95,4.95
5.13,1974758.0,USD,10141570.0,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,75,5.13,5.13
6.45,44133.0,GBP,289515.0,5.0,10.0,5.0,,,,,,True,False,False,"The number of beneficiaries and outcomes were confirmed based on Agent B's extraction, as Agent A did not provide values for these fields.",374,6.45,6.45
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,142,,
,,,,,,,,,,,,False,False,False,Agents A and B agree — no reconciliation needed.,32,,
6.59,18929.0,GBP,124797.75,25.0,,,25.0,,,,,False,False,False,"The number of beneficiaries was determined to be 25 based on Agent B's extraction, which aligns with the report's mention of 25% of participants moving into work. No other discrepancies were noted.",103,6.59,6.59
,,,,58.0,,,,,,,,True,False,False,Agents A and B agree — no reconciliation needed.,119,,
