id,title,field,value,trigger,context,flag
9,Reports Database:Whizz Kids SROI March 2011,p1_involve_stakeholders,1,"Level-1 keywords (2 hits): ['stakeholder', 'survey']","its exist for a wide range of stakeholders: the child themselves, their family, local and ",
9,Reports Database:Whizz Kids SROI March 2011,p2_understand_changes,1,"Level-1 keywords (5 hits): ['change', 'impact', 'benefit']"," whizz-kidz] has dramatically changed my son’s life, he can be more social and has much mo",
9,Reports Database:Whizz Kids SROI March 2011,p3_value_what_matters,1,Level-1 keyword (single hit): 'value',,WEAK — only 1 keyword; may be coincidental
9,Reports Database:Whizz Kids SROI March 2011,p4_only_material,0,No keywords matched,,
9,Reports Database:Whizz Kids SROI March 2011,p5_do_not_overclaim,2,Level-2 keyword: 'counterfactual',l the child reaches 25. with whizz-kidz counterfactual impact 1 2 3 2 no impact on employment - eve children and family ,
9,Reports Database:Whizz Kids SROI March 2011,p6_be_transparent,1,Level-1 keyword (single hit): 'source',,WEAK — only 1 keyword; may be coincidental
9,Reports Database:Whizz Kids SROI March 2011,p7_verify_result,1,"Level-1 keywords (2 hits): ['scenario', 'range']",d result in a large number of scenarios and different srois. this analysis examines three ,
9,Reports Database:Whizz Kids SROI March 2011,p8_be_responsive,0,No keywords matched,,
159,Reports Database:Social Return on Investment Analysis: Clyde,p1_involve_stakeholders,2,Level-2 keyword: 'participat',"atives. pupils and students are able to participate in unique learning experiences, gain new skills and take part in wor",
159,Reports Database:Social Return on Investment Analysis: Clyde,p2_understand_changes,2,Level-2 keyword: 'theory of change',ication and consultation 8 8 8 8 3. the theory of change from the perspective of the different stakeholders 10 4. inputs,
159,Reports Database:Social Return on Investment Analysis: Clyde,p3_value_what_matters,1,"Level-1 keywords (2 hits): ['value', 'worth']","ccount for a broad concept of value. it enables the social, environmental and economic ben",
159,Reports Database:Social Return on Investment Analysis: Clyde,p4_only_material,2,Level-2 keyword: 'materiality', return 6.4 sensitivity analysis 24 6.5 materiality considerations 25 7. conclusions and recommendations appendices 1. a,
159,Reports Database:Social Return on Investment Analysis: Clyde,p5_do_not_overclaim,1,Level-1 keyword (single hit): 'drop off',,WEAK — only 1 keyword; may be coincidental
159,Reports Database:Social Return on Investment Analysis: Clyde,p6_be_transparent,2,Level-2 keyword: 'audit trail',sions and recommendations appendices 1. audit trail and impact map information 1.1 stakeholders identified who were incl,
