id,title,principle,llm_score,llm_confidence,llm_key_phrase,llm_justification,keyword_score,error
9,Reports Database:Whizz Kids SROI March 2011,p6_be_transparent,1,medium,data was collected from multiple sources,The report acknowledges the collection of data but does not provide specific assumptions or their justifications.,1,
9,Reports Database:Whizz Kids SROI March 2011,p3_value_what_matters,1,medium,costs of getting a child into a wheelchair,The report acknowledges costs associated with wheelchair provision but lacks specific monetisation proxies or values.,1,
9,Reports Database:Whizz Kids SROI March 2011,p8_be_responsive,0,high,none,The excerpt does not provide any specific recommendations or lessons learned from the SROI process.,0,
9,Reports Database:Whizz Kids SROI March 2011,p2_understand_changes,1,medium,Whizz-Kidz provides mobility equipment that is more appropriate to the child’s needs,The report acknowledges the outcomes related to mobility equipment but lacks a clear causal pathway linking specific activities to these outcomes.,1,
9,Reports Database:Whizz Kids SROI March 2011,p1_involve_stakeholders,1,medium,quotes here and throughout report are from the 2010 Whizz-Kidz Satisfaction Survey,"The report mentions stakeholder quotes from a satisfaction survey, indicating some level of engagement, but lacks detailed evidence of active involvement in the SROI process.",1,
9,Reports Database:Whizz Kids SROI March 2011,p5_do_not_overclaim,1,medium,Counterfactual Impact 1 2 3 2 No impact on employment,"The report acknowledges counterfactual impacts but does not provide specific rates for deadweight, attribution, or drop-off.",2,
9,Reports Database:Whizz Kids SROI March 2011,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide reasons for their exclusion.,0,
9,Reports Database:Whizz Kids SROI March 2011,p7_verify_result,1,medium,Combining these factors would result in a large number of scenarios,The report acknowledges the existence of multiple scenarios but does not provide specific sensitivity analysis or a range of estimates.,1,
159,Reports Database:Social Return on Investment Analysis: Clyde,p3_value_what_matters,0,high,none,The report does not provide specific financial proxies or unit values for monetising outcomes.,1,
159,Reports Database:Social Return on Investment Analysis: Clyde,p8_be_responsive,1,medium,none,"The report mentions benefits and outcomes but lacks specific, actionable recommendations.",2,
159,Reports Database:Social Return on Investment Analysis: Clyde,p4_only_material,0,high,none,The report does not explicitly discuss any outcomes that were excluded or provide reasons for their exclusion.,2,
159,Reports Database:Social Return on Investment Analysis: Clyde,p7_verify_result,1,medium,"By applying a sensitivity analysis, or varying any assumptions",The report acknowledges the use of sensitivity analysis but does not provide specific scenarios or detailed results.,2,
159,Reports Database:Social Return on Investment Analysis: Clyde,p5_do_not_overclaim,1,medium,deadweight is 'taken into account',The report acknowledges deadweight but does not provide specific rates or detailed application.,1,
159,Reports Database:Social Return on Investment Analysis: Clyde,p1_involve_stakeholders,1,medium,identified following consultation with those who were directly affected,The report acknowledges stakeholder consultation but lacks specific details on how they were actively engaged in the SROI process.,2,
159,Reports Database:Social Return on Investment Analysis: Clyde,p6_be_transparent,1,medium,"By applying a sensitivity analysis, or varying any assumptions made","The report acknowledges the use of sensitivity analysis, indicating some level of assumption documentation, but lacks specific details on the assumptions themselves.",2,
159,Reports Database:Social Return on Investment Analysis: Clyde,p2_understand_changes,1,medium,Individuals are able to access the health and wellbeing benefits,The report identifies various outcomes but does not explicitly link them to specific activities or provide a clear theory of change.,2,
55,Reports Database:Substance Abuse Prevention Dollars and Cent,p5_do_not_overclaim,0,high,none,"The excerpt does not provide any evidence or mention of adjustments for deadweight, attribution, displacement, or drop-off.",0,
